Grade,Coin Type,Base Path
66,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img0
66,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img1
66,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img2
66,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img3
66,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img4
66,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img5
66,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img7
66,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img8
66,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img11
66,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img12
65,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img15
65,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img17
65,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img18
65,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img19
65,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img20
65,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img25
64,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img27
64,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img29
64,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img30
64,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img31
64,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img32
64,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img33
64,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img36
64,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img37
64,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img44
64,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img45
64,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img46
64,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img48
64,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img49
63,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img50
63,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img51
63,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img52
63,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img53
63,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img54
63,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img55
63,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img56
63,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img57
63,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img58
63,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img59
63,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img60
62,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img61
62,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img62
62,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img63
62,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img64
62,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img65
62,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img66
62,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img67
62,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img68
62,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img69
62,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img70
62,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img71
62,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img72
62,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img73
61,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img74
58,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img76
58,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img77
58,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img78
58,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img79
58,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img80
58,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img81
58,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img82
58,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img83
58,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img84
58,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img85
58,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img86
58,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img87
58,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img88
55,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img89
55,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img90
55,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img91
55,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img92
55,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img93
55,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img94
55,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img95
55,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img96
53,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img97
53,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img98
50,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img99
50,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img100
50,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img101
45,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img102
45,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img103
45,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img104
45,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img105
45,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img106
45,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img107
45,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img108
45,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img109
45,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img110
40,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img111
40,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img112
40,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img113
40,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img114
40,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img115
40,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img116
40,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img117
40,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img118
35,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img119
35,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img120
35,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img121
30,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img122
30,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img123
30,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img124
30,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img125
30,Indian Head Cent,/Volumes/Toshiba/RawImagesSquare/img126
